Title,Original Title,Original Language,TMDB ID,IMDB ID,Runtime,Genre(s),Release Date,Revenue,Budget,Status,Tagline,Overview,Production Companies,Production Countries,Spoken Language(s),Collection Title,Collection Name,Collection Release Date,Is Video,Is Adult
Twelve Monkeys,Twelve Monkeys,en,63,tt0114746,129,"[""Science Fiction"",""Thriller"",""Mystery""]",1995-12-29,168841459,29000000,Released,The future is history.,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.","[{""name"":""Universal Pictures"",""originCountry"":""US""},{""name"":""Atlas Entertainment"",""originCountry"":""US""},{""name"":""Classico"",""originCountry"":""""},{""name"":""Twelve Monkeys Productions"",""originCountry"":""""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Français"",""iso31661"":""fr""}]",,,,false,false
2 Fast 2 Furious,2 Fast 2 Furious,en,584,tt0322259,108,"[""Action"",""Crime"",""Thriller""]",2003-06-05,236350661,76000000,Released,How fast do you like it?,"It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.","[{""name"":""Ardustry Entertainment"",""originCountry"":""US""},{""name"":""Mikona Productions"",""originCountry"":""DE""},{""name"":""Original Film"",""originCountry"":""US""},{""name"":""Universal Pictures"",""originCountry"":""US""}]","[{""name"":""Germany"",""iso31661"":""DE""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Español"",""iso31661"":""es""}]",The Fast and the Furious Collection,The Fast and the Furious Collection,,false,false
300,300,en,1271,tt0416449,116,"[""Action"",""Adventure"",""War""]",2007-03-07,456082343,65000000,Released,Prepare for glory!,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.","[{""name"":""Virtual Studios"",""originCountry"":""US""},{""name"":""Legendary Pictures"",""originCountry"":""US""},{""name"":""Hollywood Gang Productions"",""originCountry"":""US""},{""name"":""Atmosphere Entertainment MM"",""originCountry"":""US""},{""name"":""Nimar Studios"",""originCountry"":""BG""},{""name"":""Warner Bros. Pictures"",""originCountry"":""US""},{""name"":""Cruel & Unusual Films"",""originCountry"":""US""}]","[{""name"":""Bulgaria"",""iso31661"":""BG""},{""name"":""Canada"",""iso31661"":""CA""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",300 Collection,300 Collection,,false,false
A Clockwork Orange,A Clockwork Orange,en,185,tt0066921,137,"[""Science Fiction"",""Crime""]",1971-12-19,26589000,2200000,Released,"Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven.","In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?","[{""name"":""Warner Bros. Pictures"",""originCountry"":""US""},{""name"":""Hawk Films"",""originCountry"":""GB""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
A View to a Kill,A View to a Kill,en,707,tt0090264,131,"[""Adventure"",""Action"",""Thriller""]",1985-05-24,152427960,30000000,Released,Has James Bond finally met his match?,A newly-developed microchip designed by Zorin Industries for the British Government that can survive the electromagnetic radiation caused by a nuclear explosion has landed in the hands of the KGB. James Bond must find out how and why. His suspicions soon lead him to big industry leader Max Zorin who forms a plan to destroy his only competition in Silicon Valley by triggering a massive earthquake in the San Francisco Bay.,"[{""name"":""EON Productions"",""originCountry"":""GB""},{""name"":""United Artists"",""originCountry"":""US""},{""name"":""Danjaq"",""originCountry"":""US""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",James Bond Collection,James Bond Collection,,false,false
Akira,AKIRA,ja,149,tt0094625,124,"[""Animation"",""Science Fiction"",""Action""]",1988-07-16,49000000,5700000,Released,Neo-Tokyo is about to E·X·P·L·O·D·E,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.,"[{""name"":""MBS"",""originCountry"":""JP""},{""name"":""Sumitomo Corporation"",""originCountry"":""JP""},{""name"":""TOHO"",""originCountry"":""JP""},{""name"":""Studio Fuga"",""originCountry"":""JP""},{""name"":""Studio Aoi"",""originCountry"":""JP""},{""name"":""Kodansha"",""originCountry"":""JP""},{""name"":""Bandai Entertainment"",""originCountry"":""JP""},{""name"":""Tokyo Movie Shinsha"",""originCountry"":""JP""}]","[{""name"":""Japan"",""iso31661"":""JP""}]","[{""name"":""日本語"",""iso31661"":""ja""}]",,,,false,false
Alien,Alien,en,348,tt0078748,117,"[""Horror"",""Science Fiction""]",1979-05-25,104931801,11000000,Released,"In space, no one can hear you scream.","During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.","[{""name"":""20th Century Fox"",""originCountry"":""US""},{""name"":""Brandywine Productions"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""},{""name"":""United Kingdom"",""iso31661"":""GB""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Español"",""iso31661"":""es""}]",Alien Collection,Alien Collection,,false,false
Alien: Covenant,Alien: Covenant,en,126889,tt2316204,122,"[""Science Fiction"",""Horror"",""Mystery""]",2017-05-09,240891763,97000000,Released,The path to paradise begins in hell.,"The crew of the colony ship Covenant, bound for a remote planet on the far side of the galaxy, discovers what they think is an uncharted paradise but is actually a dark, dangerous world.","[{""name"":""Scott Free Productions"",""originCountry"":""GB""},{""name"":""20th Century Fox"",""originCountry"":""US""},{""name"":""Brandywine Productions"",""originCountry"":""US""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Deutsch"",""iso31661"":""de""}]",Prometheus Collection,Prometheus Collection,,false,false
Alien Resurrection,Alien Resurrection,en,8078,tt0118583,109,"[""Science Fiction"",""Horror"",""Action""]",1997-11-12,162000000,70000000,Released,It's already too late.,"Two hundred years after Lt. Ripley died, a group of scientists clone her, hoping to breed the ultimate weapon. But the new Ripley is full of surprises … as are the new aliens. Ripley must team with a band of smugglers to keep the creatures from reaching Earth.","[{""name"":""20th Century Fox"",""originCountry"":""US""},{""name"":""Brandywine Productions"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""},{""name"":""France"",""iso31661"":""FR""}]","[{""name"":""English"",""iso31661"":""en""}]",Alien Collection,Alien Collection,,false,false
Aliens,Aliens,en,679,tt0090605,137,"[""Action"",""Thriller"",""Science Fiction""]",1986-07-18,183316455,18500000,Released,This time it's war.,"Ripley, the sole survivor of the Nostromo's deadly encounter with the monstrous Alien, returns to Earth after drifting through space in hypersleep for 57 years. Although her story is initially met with skepticism, she agrees to accompany a team of Colonial Marines back to LV-426.","[{""name"":""SLM Production Group"",""originCountry"":""US""},{""name"":""20th Century Fox"",""originCountry"":""US""},{""name"":""Brandywine Productions"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Alien Collection,Alien Collection,,false,false
